"SiteCode","SiteName","Latitude","Longitude","LatLongDatumID"
"BWB_STG","Stg: Pumpwerk Steglitz",52.44079,13.32827,0
"SSU_330","330: Havel, Höhe Grunewaldturm",52.48003,13.18823,0
"SSU_325","325: Havel, uh. Pichelssee",52.50226,13.19896,0
"SSU_120","120: Spree, Spreetunnel",52.4447,13.62566,0
"LGS_B329","B329: Kleine Badewiese",52.47549,13.18582,0
"LGS_B330","B330: Grunewaldturm",52.48407,13.1953,0
"LGS_B334","B334: Alter Hof",52.43491,13.14236,0
"LGS_B332","B332: Breitehorn",52.4649,13.1807,0
"LGS_B333","B333: Große Steinlanke",52.45273,13.19014,0
"LGS_B331","B331: Lieper Bucht",52.47187,13.19734,0
"LGS_B336","B336: Radfahrerwiese",52.46073,13.1892,0
"LGS_B350","B350: Strandbad Wannsee",52.44057,13.17559,0
"SSU_130","130: Spree, Fähre Baumschulenweg",52.47393,13.49576,0
"LGS_B327","B327: Schildhorn",52.49709,13.19587,0
"LGS_B328","B328: Kuhhorn",52.48972,13.19003,0
"KWB_NeuerSee","Neuer See",52.51161,13.34204,0
"LFU_KM2","Isar, vor KA München II",48.29481,11.69832,0
"LFU_BMZ","Isar, Brücke Marzling",48.40286,11.79263,0
"LFU_PKE","Ilz, Pegel Kalteneck",48.68875,13.45181,0
"LFU_BFH","Ilz, Brücke Fischhaus",48.65672,13.44172,0
"LFU_RKH","Ilz, RÜB – KA Hutthurm",48.68723,13.45095,0
"LFU_UKH","Ilz, unterhalb KA Hutthurm",48.68613,13.44904,0
