"LabName","LabOrganization","LabMethodName"
"BWB Laboratory","BWB","BWB Lab Methods"
"Potsdam Laboratory","Potsdam","Potsdam Lab Methods"
"UBA","Umweltbundesamt","UBA Lab Methods"
